mrt,latitude,longitude,line
BISHAN MRT STATION,1.3508389876938425,103.84814396447456,NS
MARYMOUNT MRT STATION,1.3487072630182246,103.83942313256962,CC
HAW PAR VILLA MRT STATION,1.282542156642901,103.78181045132038,CC
LORONG CHUAN MRT STATION,1.351612171,103.8641519380472,CC
LAVENDER MRT STATION,1.3073570200955626,103.86282920810665,EW
TAI SENG MRT STATION,1.3354333222229142,103.88819486115298,CC
ROCHOR MRT STATION,1.3039164839645871,103.85242168070454,DT
LITTLE INDIA MRT STATION,1.3068000253123342,103.8496469665724,NE
STEVENS MRT STATION,1.3200655570067297,103.8260244022438,DT
BUKIT PANJANG MRT STATION,1.379002116717668,103.76153511473294,DT
CASHEW MRT STATION,1.3693698310643436,103.76469442231075,DT
SIXTH AVENUE MRT STATION,1.330786387363983,103.79724631666106,DT
TOA PAYOH MRT STATION,1.332628987123201,103.8475017643402,NS
WOODLANDS SOUTH MRT STATION,1.4272599787112468,103.7938508924378,TE
POTONG PASIR MRT STATION,1.3313795246192943,103.86905566527228,NE
HOUGANG MRT STATION,1.3712922916785375,103.89238051891172,NE
BOON KENG MRT STATION,1.3193957060230523,103.8616865018698,NE
UPPER CHANGI MRT STATION,1.3417374838931966,103.9614717886784,DT
CHANGI AIRPORT MRT STATION,1.3573145453309785,103.98836465850532,CG
BRADDELL MRT STATION,1.340471684451099,103.84679784541233,NS
BUANGKOK MRT STATION,1.382877858147225,103.8931215647853,NE
PROMENADE MRT STATION,1.2932180514893272,103.8609992,CC
BOTANIC GARDENS MRT STATION,1.3221101929847647,103.81498275034396,CC
RAFFLES PLACE MRT STATION,1.2841256105732046,103.85146171209112,EW
HOLLAND VILLAGE MRT STATION,1.3118347904021326,103.79619182386152,CC
OUTRAM PARK MRT STATION,1.2814049781301369,103.8391264975836,EW
TELOK BLANGAH MRT STATION,1.270753211458579,103.80974863683566,CC
TELOK AYER MRT STATION,1.2822895361922544,103.84830280619272,DT
NEWTON MRT STATION,1.3123200995556394,103.83798529963272,NS
CANBERRA MRT STATION,1.443136699719395,103.82971180026024,NS
WOODLANDS NORTH MRT STATION,1.448292499870659,103.78569270000877,TE
HUME MRT STATION,1.3545176075254892,103.76909924150804,DT
SPRINGLEAF MRT STATION,1.3981608610259548,103.81808184986264,TE
LENTOR MRT STATION,1.3850619469262857,103.8364694869142,TE
MAYFLOWER MRT STATION,1.3720866386742012,103.83682393201484,TE
BRIGHT HILL MRT STATION,1.3633080980958083,103.8329359578363,TE
UPPER THOMSON MRT STATION,1.3544118531277336,103.83293816886057,TE
